X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,original_shape_Elongation,spearman,one-sided,42,-0.14609837128271616,[-0.43  0.17],0.021344734091462383,-0.028842715442308764,-0.14715136705409682,0.17794661540358842,0.2377553339714802
original_shape_MeshVolume,original_shape_Flatness,spearman,one-sided,42,-0.10639332306944331,[-0.4  0.2],0.011319539193758938,-0.03938202289886883,-0.10679751291726912,0.2512356207619686,0.16637858194118776
original_shape_MeshVolume,original_shape_LeastAxisLength,spearman,one-sided,42,0.9688842071144964,[0.94 0.98],0.9387366067958863,0.9355948943238805,2.0737533844134806,3.582966265649947e-26,1.0
original_shape_MeshVolume,original_shape_MajorAxisLength,spearman,one-sided,42,0.9489506522972206,[0.91 0.97],0.9005073404953206,0.8954051528284139,1.8211268063869404,5.95124392024447e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterColumn,spearman,one-sided,42,0.9553907872191071,[0.92 0.98],0.9127715563031451,0.9082983027802295,1.8902024706580285,4.2575968478960185e-23,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterRow,spearman,one-sided,42,0.9498804756388782,[0.91 0.97],0.9022729179999416,0.8972612727691693,1.830556357576882,4.1560661020925954e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterSlice,spearman,one-sided,42,0.963614265724825,[0.93 0.98],0.9285524531083936,0.9248884763447215,1.9941826424689681,7.802198818809035e-25,1.0
original_shape_MeshVolume,original_shape_Maximum3DDiameter,spearman,one-sided,42,0.9557572319909247,[0.92 0.98],0.9134718865029542,0.9090345473492595,1.8944204025469973,3.622336653611831e-23,1.0
original_shape_MeshVolume,original_shape_MinorAxisLength,spearman,one-sided,42,0.9554331091483674,[0.92 0.98],0.9128524260569162,0.9083833197008606,1.8906878806670702,4.1791681070407696e-23,1.0
original_shape_MeshVolume,original_shape_Sphericity,spearman,one-sided,42,-0.3736326067579613,[-0.61 -0.08],0.13960132483274934,0.09547831584981337,-0.39263847918333367,0.007397931103198061,0.7986625599222446
original_shape_MeshVolume,original_shape_SurfaceArea,spearman,one-sided,42,0.9936796045701323,[0.99 1.  ],0.9873991565386544,0.9867529594380726,2.8769777418193487,6.423623811436217e-40,1.0
original_shape_MeshVolume,original_shape_SurfaceVolumeRatio,spearman,one-sided,42,-0.9837938578721335,[-0.99 -0.97],0.9678503547869356,0.9662016550324195,-2.4036880330437085,8.860184320993071e-32,1.0
original_shape_MeshVolume,original_shape_VoxelVolume,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,original_firstorder_10Percentile,spearman,one-sided,42,-0.10088323474596873,[-0.39  0.21],0.010177427052810233,-0.040582704893199484,-0.10122758387828987,0.26248847759524196,0.1577425569463951
original_shape_MeshVolume,original_firstorder_90Percentile,spearman,one-sided,42,-0.0235799367960457,[-0.33  0.28],0.00055601341930551,-0.05069752435406327,-0.02358430850833848,0.4410829211320497,0.06751616083543309
original_shape_MeshVolume,original_firstorder_Energy,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,original_firstorder_Entropy,spearman,one-sided,42,-0.41204116360100485,[-0.64 -0.12],0.16977792050167004,0.12720242924534542,-0.4380673154981299,0.0033503772087179907,0.8693835163183428
original_shape_MeshVolume,original_firstorder_InterquartileRange,spearman,one-sided,42,0.132647273316587,[-0.18  0.42],0.01759529911832533,-0.03278442913201696,0.13343358083453233,0.20117851231046946,0.21178773768800813
original_shape_MeshVolume,original_firstorder_Kurtosis,spearman,one-sided,42,0.13005429057612838,[-0.18  0.42],0.016914118497260038,-0.03350054209262421,0.13079507428474654,0.20584958334616354,0.2069903515158783
original_shape_MeshVolume,original_firstorder_Maximum,spearman,one-sided,42,0.4875617859168625,[0.22 0.69],0.23771649508644047,0.19862503329600145,0.5328567637248369,0.0005282953649199195,0.9573921102580955
original_shape_MeshVolume,original_firstorder_MeanAbsoluteDeviation,spearman,one-sided,42,0.2499797423223402,[-0.06  0.51],0.0624898715715436,0.014412429088033085,0.25539120381021607,0.05517427716090238,0.48816407975792403
original_shape_MeshVolume,original_firstorder_Mean,spearman,one-sided,42,-0.06052994084758123,[-0.36  0.25],0.003663873739011683,-0.04743028658206483,-0.06060402847142505,0.3516795720768672,0.10373617084782538
original_shape_MeshVolume,original_firstorder_Median,spearman,one-sided,42,-0.04691678146017341,[-0.35  0.26],0.0022011843825816713,-0.04896798564908078,-0.04695125115834578,0.38398089253256007,0.0890151329136824
