Features,ICC_value,p_value,Repeatability
original_shape_Elongation,0.718612402969116,6.10847892914193e-05,Poor
original_shape_Flatness,0.741424302321336,2.82384650139048e-05,Poor
original_shape_MeshVolume,0.994270364808365,4.0570650838306897e-22,Excellent
original_shape_Sphericity,0.818852668993388,9.90232537865237e-07,Good
original_firstorder_10Percentile,0.6656917232311,0.0002837294087349,Poor
original_firstorder_90Percentile,0.946306483318763,5.19572369416945e-12,Excellent
original_firstorder_Entropy,0.580157884412016,0.0019675458691523,Poor
original_firstorder_InterquartileRange,0.471697142798598,0.0120280511683174,Poor
original_firstorder_Kurtosis,0.557473563730278,0.0030212523759859,Poor
original_firstorder_Maximum,0.718871579348775,6.05768575078359e-05,Poor
original_firstorder_MeanAbsoluteDeviation,0.423086738195355,0.0229215423724744,Poor
original_firstorder_Mean,0.914800027419174,5.71189652372962e-10,Excellent
original_firstorder_Median,0.963299226201822,1.03493924396937e-13,Excellent
original_firstorder_Minimum,0.66183421924638,0.0003136552312428,Poor
original_firstorder_Range,0.722355413839621,5.40974232979297e-05,Poor
original_firstorder_RobustMeanAbsoluteDeviation,0.457106072035527,0.0147326940531504,Poor
original_firstorder_RootMeanSquared,0.915099967572717,5.512065610026151e-10,Excellent
original_firstorder_Skewness,0.690361933297224,0.0001442355272547,Poor
original_firstorder_Uniformity,0.575045224123296,0.0021730209333127,Poor
original_firstorder_Variance,0.23730571915377,0.139561967916619,Poor
original_glcm_Autocorrelation,0.595887971851558,0.0014345591944798,Poor
original_glcm_ClusterProminence,0.564235026023626,0.0026670729176627,Poor
original_glcm_ClusterShade,0.646607975031068,0.0004597659668977,Poor
original_glcm_ClusterTendency,0.432400786206952,0.0203926534842294,Poor
original_glcm_Contrast,0.653004974551873,0.000392520121079,Poor
original_glcm_Correlation,0.508764218964701,0.0069066499429844,Poor
original_glcm_DifferenceAverage,0.674522472424453,0.0002243104301439,Poor
original_glcm_DifferenceEntropy,0.607276213433169,0.0011296535940918,Poor
original_glcm_DifferenceVariance,0.533335747136859,0.0046201188472941,Poor
original_glcm_Id,0.637894799105741,0.0005670473978714,Poor
original_glcm_Idm,0.628354422678553,0.0007083361955472,Poor
original_glcm_Idmn,0.666255566615948,0.0002795678872168,Poor
original_glcm_Idn,0.674256272637022,0.0002259306419087,Poor
original_glcm_Imc1,0.755785450366796,1.66641330020153e-05,Good
original_glcm_Imc2,0.805985917404359,1.91047508463344e-06,Good
original_glcm_InverseVariance,0.646749208726857,0.0004581813085177,Poor
original_glcm_JointAverage,0.543167201170399,0.0039006726883887,Poor
original_glcm_JointEnergy,0.486012596632913,0.0097761302136253,Poor
original_glcm_JointEntropy,0.532955192651791,0.0046500264962026,Poor
original_glcm_MCC,0.338458970303493,0.058460343751652,Poor
original_glcm_MaximumProbability,0.447844275149216,0.0166860864955717,Poor
