X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,original_shape_Elongation,spearman,one-sided,42,-0.14609837128271616,[-0.43  0.17],0.021344734091462383,-0.028842715442308764,-0.14715136705409682,0.17794661540358842,0.2377553339714802
original_shape_MeshVolume,original_shape_Flatness,spearman,one-sided,42,-0.10639332306944331,[-0.4  0.2],0.011319539193758938,-0.03938202289886883,-0.10679751291726912,0.2512356207619686,0.16637858194118776
original_shape_MeshVolume,original_shape_LeastAxisLength,spearman,one-sided,42,0.9688842071144964,[0.94 0.98],0.9387366067958863,0.9355948943238805,2.0737533844134806,3.582966265649947e-26,1.0
original_shape_MeshVolume,original_shape_MajorAxisLength,spearman,one-sided,42,0.9489506522972206,[0.91 0.97],0.9005073404953206,0.8954051528284139,1.8211268063869404,5.95124392024447e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterColumn,spearman,one-sided,42,0.9553907872191071,[0.92 0.98],0.9127715563031451,0.9082983027802295,1.8902024706580285,4.2575968478960185e-23,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterRow,spearman,one-sided,42,0.9498804756388782,[0.91 0.97],0.9022729179999416,0.8972612727691693,1.830556357576882,4.1560661020925954e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterSlice,spearman,one-sided,42,0.963614265724825,[0.93 0.98],0.9285524531083936,0.9248884763447215,1.9941826424689681,7.802198818809035e-25,1.0
original_shape_MeshVolume,original_shape_Maximum3DDiameter,spearman,one-sided,42,0.9557572319909247,[0.92 0.98],0.9134718865029542,0.9090345473492595,1.8944204025469973,3.622336653611831e-23,1.0
original_shape_MeshVolume,original_shape_MinorAxisLength,spearman,one-sided,42,0.9554331091483674,[0.92 0.98],0.9128524260569162,0.9083833197008606,1.8906878806670702,4.1791681070407696e-23,1.0
original_shape_MeshVolume,original_shape_Sphericity,spearman,one-sided,42,-0.3736326067579613,[-0.61 -0.08],0.13960132483274934,0.09547831584981337,-0.39263847918333367,0.007397931103198061,0.7986625599222446
original_shape_MeshVolume,original_shape_SurfaceArea,spearman,one-sided,42,0.9936796045701323,[0.99 1.  ],0.9873991565386544,0.9867529594380726,2.8769777418193487,6.423623811436217e-40,1.0
original_shape_MeshVolume,original_shape_SurfaceVolumeRatio,spearman,one-sided,42,-0.9837938578721335,[-0.99 -0.97],0.9678503547869356,0.9662016550324195,-2.4036880330437085,8.860184320993071e-32,1.0
original_shape_MeshVolume,original_shape_VoxelVolume,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,original_firstorder_10Percentile,spearman,one-sided,42,0.37833238797504254,[0.08 0.61],0.14313539579089812,0.09919362121607234,0.39811203441331666,0.006746640635680125,0.8082304264902769
original_shape_MeshVolume,original_firstorder_90Percentile,spearman,one-sided,42,0.005915241876671259,[-0.3   0.31],3.499008645952532e-05,-0.051245266832183445,0.005915310869727939,0.4851713273684052,0.054110962052899135
original_shape_MeshVolume,original_firstorder_Energy,spearman,one-sided,42,1.0,[1. 1.],1.0,1.0,inf,0.0,1.0
original_shape_MeshVolume,original_firstorder_Entropy,spearman,one-sided,42,-0.7155822056559437,[-0.84 -0.53],0.5120578930514252,0.48703522090021634,-0.8985317582589835,5.017650783075051e-08,0.9999711712780167
original_shape_MeshVolume,original_firstorder_InterquartileRange,spearman,one-sided,42,-0.44137428085244307,[-0.66 -0.16],0.19481125579801128,0.15351952532611446,-0.47393630227688816,0.001716785778353265,0.9114466787555138
original_shape_MeshVolume,original_firstorder_Kurtosis,spearman,one-sided,42,0.11887205250790049,[-0.19  0.41],0.014130564867441051,-0.03642684206243385,0.11943675780867159,0.22668922825767984,0.18708409658593134
original_shape_MeshVolume,original_firstorder_Maximum,spearman,one-sided,42,0.24835912810955355,[-0.06  0.51],0.06168225651533763,0.013563397875098526,0.25366331226874445,0.05637657170068673,0.48381269012583644
original_shape_MeshVolume,original_firstorder_MeanAbsoluteDeviation,spearman,one-sided,42,-0.34397536666396566,[-0.59 -0.04],0.11831905287160963,0.07310464532656391,-0.35859442674195113,0.012857379280388928,0.7330257392715961
original_shape_MeshVolume,original_firstorder_Mean,spearman,one-sided,42,0.28692974637387575,[-0.02  0.54],0.08232867935417666,0.035268611628749835,0.29521733549442924,0.032711839820738914,0.5877868383469546
original_shape_MeshVolume,original_firstorder_Median,spearman,one-sided,42,0.3290657159063285,[0.03 0.58],0.1082842453849445,0.06255523232776206,0.34178015510852555,0.01667306276080491,0.6970201637953415
