Features,ICC_value,p_value,Repeatability
original_shape_Elongation,0.718612402969116,6.10847892914193e-05,Poor
original_shape_Flatness,0.741424302321336,2.82384650139048e-05,Poor
original_shape_MeshVolume,0.994270364808365,4.0570650838306897e-22,Excellent
original_shape_Sphericity,0.818852668993388,9.90232537865237e-07,Good
original_firstorder_10Percentile,0.988772948689633,4.62069272333982e-19,Excellent
original_firstorder_90Percentile,0.983242221959878,3.02091641392983e-17,Excellent
original_firstorder_Entropy,0.855831113311965,1.07852619458806e-07,Good
original_firstorder_InterquartileRange,0.93558254236722,3.34353308419e-11,Excellent
original_firstorder_Kurtosis,0.896581111712011,4.00795420541658e-09,Good
original_firstorder_Maximum,0.789087118492507,4.22305820652395e-06,Good
original_firstorder_MeanAbsoluteDeviation,0.974509032955886,2.37369765325364e-15,Excellent
original_firstorder_Mean,0.992255849699348,9.5080000406863e-21,Excellent
original_firstorder_Median,0.99489169683948,1.21904917457864e-22,Excellent
original_firstorder_Minimum,0.957468608094515,4.73709094546627e-13,Excellent
original_firstorder_Range,0.829111154904296,5.6458240435716e-07,Good
original_firstorder_RobustMeanAbsoluteDeviation,0.952123085728658,1.60168536766923e-12,Excellent
original_firstorder_RootMeanSquared,0.992251157000625,9.56846446627706e-21,Excellent
original_firstorder_Skewness,0.917776767899011,3.98765361666779e-10,Excellent
original_firstorder_Uniformity,0.847810538825542,1.83162674485565e-07,Good
original_firstorder_Variance,0.9837032825932,2.25860196400478e-17,Excellent
original_glcm_Autocorrelation,0.664808259665856,0.0002903570127397,Poor
original_glcm_ClusterProminence,0.950453781722418,2.27763022325099e-12,Excellent
original_glcm_ClusterShade,0.970936576511589,9.25413979316533e-15,Excellent
original_glcm_ClusterTendency,0.932809717763977,5.13730021163226e-11,Excellent
original_glcm_Contrast,0.936527028174993,2.8759030519484697e-11,Excellent
original_glcm_Correlation,0.925977082462881,1.37534465394671e-10,Excellent
original_glcm_DifferenceAverage,0.941777804389661,1.1904254269433798e-11,Excellent
original_glcm_DifferenceEntropy,0.941694094194665,1.2080467705349499e-11,Excellent
original_glcm_DifferenceVariance,0.957187946840451,5.06917892984844e-13,Excellent
original_glcm_Id,0.927091095168522,1.1790698965419801e-10,Excellent
original_glcm_Idm,0.919653772418842,3.15689835089547e-10,Excellent
original_glcm_Idmn,0.937449939243446,2.47663258903615e-11,Excellent
original_glcm_Idn,0.941970884312231,1.1506598199306e-11,Excellent
original_glcm_Imc1,0.909851605694711,1.0093797467347302e-09,Excellent
original_glcm_Imc2,0.971770108327322,6.844101621551351e-15,Excellent
original_glcm_InverseVariance,0.923586583428167,1.8987069207687002e-10,Excellent
original_glcm_JointAverage,0.760868581831216,1.3708041238828e-05,Good
original_glcm_JointEnergy,0.822154514069586,8.29637356500986e-07,Good
original_glcm_JointEntropy,0.783671139808932,5.36468649373964e-06,Good
