X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,original_shape_Elongation,spearman,one-sided,42,-0.22631877481565515,[-0.5   0.08],0.051220187834059225,0.00256481285119059,-0.23030607989787313,0.07476037601538019,0.4253869258573053
original_shape_MeshVolume,original_shape_Flatness,spearman,one-sided,42,-0.34770277935337496,[-0.59 -0.05],0.12089722277006175,0.07581502906596249,-0.3628282295626199,0.012026471879710001,0.7417383233851215
original_shape_MeshVolume,original_shape_LeastAxisLength,spearman,one-sided,42,0.9585122761526618,[0.92 0.98],0.9187457835353565,0.9145789006397338,1.9272714243290092,1.027014258975183e-23,1.0
original_shape_MeshVolume,original_shape_MajorAxisLength,spearman,one-sided,42,0.95753990762499,[0.92 0.98],0.9168826746944744,0.9126202477557295,1.915439591422092,1.617736102494831e-23,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterColumn,spearman,one-sided,42,0.9489891017067822,[0.91 0.97],0.9005803151582454,0.8954818697817453,1.8215134029183686,5.86432344422504e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterRow,spearman,one-sided,42,0.9459481392486654,[0.9  0.97],0.8948178821480124,0.889423927386372,1.7917803212464571,1.81522048825121e-21,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterSlice,spearman,one-sided,42,0.951219512195122,[0.91 0.97],0.9048185603807258,0.8999374609130708,1.8444397270569688,2.448213413548081e-22,1.0
original_shape_MeshVolume,original_shape_Maximum3DDiameter,spearman,one-sided,42,0.9635361802123006,[0.93 0.98],0.928401970578111,0.9247302767616039,1.9930908849713556,8.138143885181707e-25,1.0
original_shape_MeshVolume,original_shape_MinorAxisLength,spearman,one-sided,42,0.9450611781865328,[0.9  0.97],0.8931406305153174,0.8876606628494362,1.7834142370845047,2.4930402844301873e-21,1.0
original_shape_MeshVolume,original_shape_Sphericity,spearman,one-sided,42,-0.9196175350457824,[-0.96 -0.85],0.8456964107636807,0.8377834061874593,-1.5865425949339793,3.97385181181745e-18,1.0
original_shape_MeshVolume,original_shape_SurfaceArea,spearman,one-sided,42,0.9878453934041003,[0.98 0.99],0.9758385212697016,0.9745994710784043,2.548549186324814,2.91535585947328e-34,1.0
original_shape_MeshVolume,original_shape_SurfaceVolumeRatio,spearman,one-sided,42,0.47897253058909334,[0.2  0.68],0.22941468505891996,0.1898974894209159,0.5216500624078141,0.000666036759345793,0.9505850773730231
original_shape_MeshVolume,original_shape_VoxelVolume,spearman,one-sided,42,0.9980552629446562,[1. 1.],0.9961143078915268,0.9959150416295538,3.4674014200403174,3.8666850777334723e-50,1.0
original_shape_MeshVolume,original_firstorder_10Percentile,spearman,one-sided,42,-0.4569321772951949,[-0.67 -0.18],0.20878701464772745,0.16821198975786733,-0.4934270198641778,0.0011752590688395822,0.9295734754600349
original_shape_MeshVolume,original_firstorder_90Percentile,spearman,one-sided,42,-0.23976987278178433,[-0.51  0.07],0.05748959189379304,0.00915572481142335,-0.2445299342460618,0.06308275919082178,0.4608554633781593
original_shape_MeshVolume,original_firstorder_Energy,spearman,one-sided,42,0.9987035086297708,[1. 1.],0.9974086981494146,0.9972758108750256,3.670296166943103,1.169668191747242e-53,1.0
original_shape_MeshVolume,original_firstorder_Entropy,spearman,one-sided,42,0.25224860222024154,[-0.06  0.52],0.06362935732206565,0.015610350005248463,0.2578127645999425,0.05352392124760225,0.49426453630329964
original_shape_MeshVolume,original_firstorder_InterquartileRange,spearman,one-sided,42,0.5232152985981687,[0.26 0.71],0.27375424868717085,0.23651087682497451,0.5807568392294594,0.0001887892220588519,0.9784657123473157
