Features,ICC_value,p_value,Repeatability
original_shape_Elongation,0.900344703689969,2.76474638481808e-09,Excellent
original_shape_Flatness,0.902350440646293,2.25465075363002e-09,Excellent
original_shape_MeshVolume,0.979190197746389,2.88116806045e-16,Excellent
original_shape_SurfaceVolumeRatio,0.857891697260759,9.36508885798634e-08,Good
original_firstorder_10Percentile,0.842363909624174,2.58041336388985e-07,Good
original_firstorder_90Percentile,0.962925436862054,1.14913245840114e-13,Excellent
original_firstorder_Entropy,0.609800306788081,0.001070079245371,Poor
original_firstorder_InterquartileRange,0.719105398968907,6.01217769329175e-05,Poor
original_firstorder_Kurtosis,0.829529091951504,5.51377128179781e-07,Good
original_firstorder_Maximum,0.589328593973734,0.0016397334482608,Poor
original_firstorder_MeanAbsoluteDeviation,0.72244938149408,5.39313633664524e-05,Poor
original_firstorder_Mean,0.933213920719901,4.8310736115767795e-11,Excellent
original_firstorder_Median,0.950902691932376,2.07437656718144e-12,Excellent
original_firstorder_Minimum,0.683591896885626,0.0001747680067714,Poor
original_firstorder_Range,0.593746424695677,0.0014990204123542,Poor
original_firstorder_RobustMeanAbsoluteDeviation,0.716872258999311,6.45920936835968e-05,Poor
original_firstorder_RootMeanSquared,0.933370877813191,4.716655352118969e-11,Excellent
original_firstorder_Skewness,0.818425312989771,1.0129105594271e-06,Good
original_firstorder_Uniformity,0.676614481179377,0.0002119222560122,Poor
original_firstorder_Variance,0.675629292551674,0.0002176806906094,Poor
original_glcm_Autocorrelation,0.65051599165508,0.0004176073814224,Poor
original_glcm_ClusterProminence,0.640748060142916,0.0005297832209323,Poor
original_glcm_ClusterShade,0.672177121500553,0.0002389359097499,Poor
original_glcm_ClusterTendency,0.615848371667177,0.0009380577629684,Poor
original_glcm_Contrast,0.68167752132368,0.0001843536618446,Poor
original_glcm_Correlation,0.411910155108402,0.0262707813445309,Poor
original_glcm_DifferenceAverage,0.72428335635533,5.07780302042814e-05,Poor
original_glcm_DifferenceEntropy,0.714447326510549,6.97711141568015e-05,Poor
original_glcm_DifferenceVariance,0.666475607242489,0.0002779581445526,Poor
original_glcm_Id,0.72235869692143,5.40916139285761e-05,Poor
