X,Y,method,tail,n,r,CI95%,r2,adj_r2,z,p-unc,power
original_shape_MeshVolume,original_shape_Elongation,spearman,one-sided,42,-0.22631877481565515,[-0.5   0.08],0.051220187834059225,0.00256481285119059,-0.23030607989787313,0.07476037601538019,0.4253869258573053
original_shape_MeshVolume,original_shape_Flatness,spearman,one-sided,42,-0.34770277935337496,[-0.59 -0.05],0.12089722277006175,0.07581502906596249,-0.3628282295626199,0.012026471879710001,0.7417383233851215
original_shape_MeshVolume,original_shape_LeastAxisLength,spearman,one-sided,42,0.9585122761526618,[0.92 0.98],0.9187457835353565,0.9145789006397338,1.9272714243290092,1.027014258975183e-23,1.0
original_shape_MeshVolume,original_shape_MajorAxisLength,spearman,one-sided,42,0.95753990762499,[0.92 0.98],0.9168826746944744,0.9126202477557295,1.915439591422092,1.617736102494831e-23,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterColumn,spearman,one-sided,42,0.9489891017067822,[0.91 0.97],0.9005803151582454,0.8954818697817453,1.8215134029183686,5.86432344422504e-22,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterRow,spearman,one-sided,42,0.9459481392486654,[0.9  0.97],0.8948178821480124,0.889423927386372,1.7917803212464571,1.81522048825121e-21,1.0
original_shape_MeshVolume,original_shape_Maximum2DDiameterSlice,spearman,one-sided,42,0.951219512195122,[0.91 0.97],0.9048185603807258,0.8999374609130708,1.8444397270569688,2.448213413548081e-22,1.0
original_shape_MeshVolume,original_shape_Maximum3DDiameter,spearman,one-sided,42,0.9635361802123006,[0.93 0.98],0.928401970578111,0.9247302767616039,1.9930908849713556,8.138143885181707e-25,1.0
original_shape_MeshVolume,original_shape_MinorAxisLength,spearman,one-sided,42,0.9450611781865328,[0.9  0.97],0.8931406305153174,0.8876606628494362,1.7834142370845047,2.4930402844301873e-21,1.0
original_shape_MeshVolume,original_shape_Sphericity,spearman,one-sided,42,-0.9196175350457824,[-0.96 -0.85],0.8456964107636807,0.8377834061874593,-1.5865425949339793,3.97385181181745e-18,1.0
original_shape_MeshVolume,original_shape_SurfaceArea,spearman,one-sided,42,0.9878453934041003,[0.98 0.99],0.9758385212697016,0.9745994710784043,2.548549186324814,2.91535585947328e-34,1.0
original_shape_MeshVolume,original_shape_SurfaceVolumeRatio,spearman,one-sided,42,0.47897253058909334,[0.2  0.68],0.22941468505891996,0.1898974894209159,0.5216500624078141,0.000666036759345793,0.9505850773730231
original_shape_MeshVolume,original_shape_VoxelVolume,spearman,one-sided,42,0.9980552629446562,[1. 1.],0.9961143078915268,0.9959150416295538,3.4674014200403174,3.8666850777334723e-50,1.0
original_shape_MeshVolume,original_firstorder_10Percentile,spearman,one-sided,42,0.24446965399886558,[-0.06  0.51],0.05976541172632505,0.011548253353316218,0.24952239486742056,0.059343025268130525,0.47339317217001364
original_shape_MeshVolume,original_firstorder_90Percentile,spearman,one-sided,42,0.5595170569645895,[0.31 0.74],0.3130593370343157,0.27783161072838325,0.6321298753226559,5.852610325722924e-05,0.9905280619188803
original_shape_MeshVolume,original_firstorder_Energy,spearman,one-sided,42,0.9980552629446562,[1. 1.],0.9961143078915268,0.9959150416295538,3.4674014200403174,3.8666850777334723e-50,1.0
original_shape_MeshVolume,original_firstorder_Entropy,spearman,one-sided,42,0.34932339356616166,[0.05 0.59],0.12202683329257948,0.0770025683332245,0.36467290068702946,0.011679439341583735,0.7454876962035248
original_shape_MeshVolume,original_firstorder_InterquartileRange,spearman,one-sided,42,0.6585365853658537,[0.44 0.8 ],0.4336704342653183,0.40462789243277064,0.790225187780424,1.0649855188289032e-06,0.9995833343518563
