Features,ICC_value,p_value,Repeatability
original_shape_Elongation,0.900344703689969,2.76474638481808e-09,Excellent
original_shape_Flatness,0.902350440646293,2.25465075363002e-09,Excellent
original_shape_MeshVolume,0.979190197746389,2.88116806045e-16,Excellent
original_shape_SurfaceVolumeRatio,0.857891697260759,9.36508885798634e-08,Good
original_firstorder_10Percentile,0.983832651055702,2.0785215097045302e-17,Excellent
original_firstorder_90Percentile,0.973860012566376,3.0815763347533304e-15,Excellent
original_firstorder_Entropy,0.843745994244558,2.3683781370852e-07,Good
original_firstorder_InterquartileRange,0.960782188761385,2.05269757991096e-13,Excellent
original_firstorder_Kurtosis,0.862924918502326,6.57096706508088e-08,Good
original_firstorder_Maximum,0.920931814327826,2.68386218740162e-10,Excellent
original_firstorder_MeanAbsoluteDeviation,0.952615909598615,1.44009703858207e-12,Excellent
original_firstorder_Mean,0.982636519973253,4.37361544282502e-17,Excellent
original_firstorder_Median,0.973313723106847,3.8193871246653104e-15,Excellent
original_firstorder_Minimum,0.936103893116272,3.07759195704914e-11,Excellent
original_firstorder_Range,0.922210106710483,2.2753740331744501e-10,Excellent
original_firstorder_RobustMeanAbsoluteDeviation,0.962049286922877,1.46256335679174e-13,Excellent
original_firstorder_RootMeanSquared,0.982630382059675,4.3897521684456304e-17,Excellent
original_firstorder_Skewness,0.921791827063932,2.40242842057596e-10,Excellent
original_firstorder_Uniformity,0.849995925156147,1.59032471725488e-07,Good
original_firstorder_Variance,0.923639868128488,1.88532407157514e-10,Excellent
original_glcm_Autocorrelation,0.881824477206011,1.51551255170356e-08,Good
original_glcm_ClusterProminence,0.509006044036589,0.0068803351317594,Poor
original_glcm_ClusterShade,0.58008057422274,0.0019705269430346,Poor
original_glcm_ClusterTendency,0.794472386632992,3.30591376537937e-06,Good
original_glcm_Contrast,0.648638796820473,0.0004374251498853,Poor
original_glcm_Correlation,0.247501610510332,0.129196152528915,Poor
original_glcm_DifferenceAverage,0.739815722165194,2.989372512749e-05,Poor
original_glcm_DifferenceEntropy,0.734580214514351,3.58828357444564e-05,Poor
original_glcm_DifferenceVariance,0.522373583685912,0.0055477772879404,Poor
